GEOID,Has_Rail,Equity_Score,Equity_Quintile
24510160600,0,46.6,4
24510271802,0,44.0,4
24510270600,0,28.1,2
24510270401,0,36.8,3
24510270402,0,25.6,1
24510270502,0,30.4,2
24510151200,0,49.1,4
24510151000,0,44.6,4
24510151100,1,37.7,3
24510150800,0,42.9,3
24510250205,1,47.0,4
24510260605,0,39.4,3
24510261100,0,12.2,1
24510270101,0,18.4,1
24510270102,0,36.0,2
24510270200,0,24.7,1
24510270301,0,26.7,2
24510270302,0,26.0,1
24510240200,0,12.9,1
24510271600,0,45.1,4
24510271700,0,42.2,3
24510230100,0,24.0,1
24510140100,0,35.9,2
24510250500,0,45.0,4
24510250600,0,25.9,1
24510260101,0,31.4,2
24510030200,1,26.1,1
24510040100,1,30.0,2
24510040200,0,38.4,3
24510060400,1,35.7,2
24510070100,0,51.9,5
24510070200,0,47.6,4
24510070300,0,37.0,3
24510070400,0,45.3,4
24510151300,0,50.3,5
24510160400,0,53.2,5
24510260202,0,49.0,4
24510260203,0,38.6,3
24510260301,0,38.2,3
24510260302,0,40.0,3
24510260303,0,42.3,3
24510260401,0,46.1,4
24510090200,0,29.0,2
24510090300,0,39.9,3
24510090400,0,50.0,5
24510090500,0,34.3,2
24510090600,0,43.4,4
24510090700,0,48.8,4
24510160500,0,48.7,4
24510160700,0,53.8,5
24510160801,0,44.2,4
24510160802,0,51.1,5
24510170100,1,46.7,4
24510170200,1,63.7,5
24510170300,0,59.8,5
24510270702,0,32.3,2
24510270801,0,33.3,2
24510270703,0,24.6,1
24510150300,0,58.0,5
24510200500,0,49.8,5
24510200600,0,43.8,4
24510200701,0,46.8,4
24510200800,0,47.8,4
24510270903,0,29.7,2
24510271001,0,46.7,4
24510271002,0,40.5,3
24510271101,0,29.5,2
24510271102,0,18.9,1
24510271200,0,13.8,1
24510130806,1,20.2,1
24510140200,1,46.6,4
24510140300,1,49.4,5
24510150200,0,52.6,5
24510150400,1,53.3,5
24510150702,0,46.4,4
24510150500,1,55.7,5
24510150600,0,53.8,5
24510150701,0,50.2,5
24510200400,0,52.9,5
24510190200,0,36.3,2
24510190300,0,40.7,3
24510200100,0,40.9,3
24510200200,1,49.9,5
24510200300,0,52.2,5
24510270803,0,37.8,3
24510270805,0,38.0,3
24510270901,0,41.5,3
24510270902,0,32.9,2
24510270804,0,36.7,3
24510271503,0,24.6,1
24510260403,0,38.7,3
24510060100,0,31.2,2
24510210100,1,29.4,2
24510220100,1,30.2,2
24510230300,0,16.5,1
24510240100,0,14.4,1
24510210200,0,34.4,2
24510250206,0,30.4,2
24510250207,0,41.9,3
24510250301,1,48.7,4
24510250303,0,40.5,3
24510250401,0,37.3,3
24510250402,0,49.1,4
24510272003,0,24.3,1
24510280101,0,39.2,3
24510280102,1,44.2,4
24510280200,0,40.2,3
24510280302,0,41.2,3
24510272007,0,41.0,3
24510060300,0,28.3,2
24510260800,0,43.2,4
24510080800,0,45.0,4
24510260900,0,16.8,1
24510230200,0,17.1,1
24510270501,0,24.6,1
24510160200,0,51.3,5
24510100100,0,57.6,5
24510130300,0,46.8,4
24510280301,0,44.6,4
24510120202,0,35.8,2
24510272005,0,26.4,2
24510120201,0,21.7,1
24510272004,0,26.0,1
24510160100,0,59.5,5
24510130200,0,34.8,2
24510130400,0,46.3,4
24510130600,0,15.9,1
24510130700,0,22.3,1
24510130803,0,24.4,1
24510130804,0,21.5,1
24510130805,0,39.4,3
24510271900,0,29.6,2
24510260102,0,32.8,2
24510260201,0,37.1,3
24510280401,0,35.0,2
24510280403,0,30.7,2
24510280404,0,43.0,3
24510080101,0,32.9,2
24510080102,0,52.6,5
24510270701,0,47.2,4
24510272006,0,45.6,4
24510280500,0,67.3,5
24510150100,0,54.1,5
24510090900,0,46.1,4
24510120400,0,40.1,3
24510080301,0,46.0,4
24510260700,0,26.4,2
24510010200,0,13.4,1
24510271801,0,58.3,5
24510150900,0,49.4,5
24510080700,0,39.6,3
24510261000,0,31.8,2
24510160300,0,57.4,5
24510060200,0,27.1,2
24510200702,0,56.0,5
24510020200,0,29.9,2
24510260604,0,43.1,3
24510280402,0,38.1,3
24510010100,0,15.8,1
24510010300,0,11.1,1
24510010400,0,13.9,1
24510010500,0,17.8,1
24510020100,0,17.8,1
24510020300,0,18.3,1
24510030100,0,39.0,3
24510080200,0,60.9,5
24510080302,0,54.8,5
24510080400,0,43.3,4
24510080500,0,53.2,5
24510080600,0,46.5,4
24510090100,0,37.4,3
24510240300,0,14.3,1
24510250101,0,39.0,3
24510250102,0,43.4,4
24510250103,0,43.3,4
24510250203,0,40.7,3
24510240400,0,11.7,1
24510250204,0,66.8,5
24510180300,0,41.4,3
24510190100,0,55.0,5
24510270802,0,32.9,2
24510271400,0,19.6,1
24510271501,1,27.2,2
24510120700,1,23.7,1
24510130100,0,54.2,5
24510271300,0,18.1,1
24510260402,0,44.3,4
24510260404,0,46.3,4
24510260501,0,45.5,4
24510090800,0,52.0,5
24510100200,0,64.5,5
24510100300,0,17.4,1
24510110100,0,29.2,2
24510110200,1,33.0,2
24510120100,0,23.3,1
24510120300,0,35.6,2
24510120500,1,30.7,2
24510120600,0,52.6,5
24510280600,0,53.6,5
